id,level,sr_no,raw,kanji,hiragana,meaning,hint,sentence,supporting_word_1,supporting_word_2,page_no
18,N1,18,浅ましい,浅ましい,あさましい,"Wretched, shameful, mean",,彼の浅ましい嘘には誰もが失望しました。,彼の,嘘には誰もが失望しました。,14.0
19,N1,19,欺く,欺く,あざむく,To deceive,嘘を言って騙す,警察の目が欺く～た。,警察の目が,～た。(嘘を言って騙す),18.0
20,N1,20,鮮やか,鮮やか,あざやか,"Brilliant, vivid",X ぼんやり、色がはっきりすること、濃い色,,,(X ぼんやり、色がはっきりすること、濃い色),36.0
21,N1,21,嘲笑う＊,嘲笑う,あざわらう,To ridicule,馬鹿にするように笑う、N3? 私はN1 持っています、hahaha,嘲笑うことは他人を傷つける行為です。,,ことは他人を傷つける行為です。(馬鹿にするように笑う、N3? 私はN1 持っています、hahaha),18.0
22,N1,22,足が出る＊,足が出る,あしがでる,"to exceed the budget, to overrun the budget",(予算オーバーになる),一万円〜足が出る,一万円〜,((予算オーバーになる)),145.0
23,N1,23,足が早い＊,足が早い,あしがはやい,Fast runner,,,,,145.0
24,N1,24,足が棒になる＊,足が棒になる,あしがぼうになる,Legs become like sticks (used to describe extreme fatigue),,,,,145.0
25,N1,25,悪しからず,悪しからず,あしからず,Please don't take it the wrong way,,,,,146.0
26,N1,26,足首,足首,あしくび,Ankle,,サッカーの試合で足首を怪我しました。,サッカーの試合で,を怪我しました。,22.0
27,N1,27,足を引っ張る＊,足を引っ張る,あしをひっぱる,"To hold back, hinder someone's progress",,,,,145.0
28,N1,28,焦る,焦る,あせる,"to be in a hurry, to be impatient",心の中に慌てる、物事を早くやろうと思って落ち着かない,試験前に焦る～ずに、じっくり勉強しましょう。,試験前に,～ずに、じっくり勉強しましょう。(心の中に慌てる、物事を早くやろうと思って落ち着かない),15.0
29,N1,29,値する,値する,あたいする,"To deserve, be worth",,,,,93.0
30,N1,30,与える,与える,あたえる,"To give (esp. To someone of lower status), to present, to award",,①賞を ②給料を ③彼は教育に多くの時間を与える～ています。,①賞を ②給料を ③彼は教育に多くの時間を,～ています。,21.0
31,N1,31,頭が切れる＊,頭が切れる,あたまがきれる,To be sharp-witted,,,,,143.0
32,N1,32,頭が下がる＊,頭が下がる,あたまがさがる,"To show respect, deference",,,,,143.0
33,N1,33,頭を抱える＊,頭を抱える,あたまをかかえる,"To be at a loss, deeply concerned",,,,,143.0
34,N1,34,頭を冷やす＊,頭を冷やす,あたまをひやす,"To cool down, calm down (emotionally)",,,,,143.0
35,N1,35,アダルトサイト,アダルトサイト,あだるとさいと,Adult website,,,,,124.0
36,N1,36,暑苦しい＊,暑苦しい,あつくるしい,"Sultry, oppressive (weather)",,,,,36.0
37,N1,37,呆気ない,呆気ない,あっけない,"Disappointing, underwhelming",思ったよりも簡単,,,(思ったよりも簡単),38.0
38,N1,38,あっさり＊＊,あっさり,あっさり,"easily, readily, quickly",①複雑ではない味が濃くない油っぽくない ②時間をかけずに簡単に,あっさり①した味。②罪を認めた。,,①した味。②罪を認めた。(①複雑ではない味が濃くない油っぽくない ②時間をかけずに簡単に),52.0
39,N1,39,圧倒的(な),圧倒的,あっとうてき,overwhelming,,①バスケットボールはアメリカが ②反対意見を圧倒的①に強い。②に多い。,①バスケットボールはアメリカが ②反対意見を,①に強い。②に多い。,40.0
40,N1,40,アットホーム,アットホーム,あっとほーむ,"At home, friendly","Wasei, word made in Japan, From English",,,"(Wasei, word made in Japan, From English)",122.0
41,N1,41,アトピー,アトピー,アトピー,"Atopy, predisposition toward allergies","性皮膚炎, Medicine",アトピーの症状が出ることがあります。,,"の症状が出ることがあります。(性皮膚炎, Medicine)",23.0
42,N1,42,後回し＊,後回し,あとまわし,"Postponement, putting something off",,,,,68.0
43,N1,43,アフターケア,アフターケア,あふたーけあ,Aftercare,,,,,121.0
44,N1,44,アフターサービス,アフターサービス,あふたーさーびす,After-sales service,"Wasei, word made in Japan, From English",,,"(Wasei, word made in Japan, From English)",121.0
45,N1,45,あべこべ,あべこべ,あべこべ,"Upside down, reversed",,,,,148.0
46,N1,46,危うい,危うい,あやうい,"Dangerous, in danger",危険が近づいていること,,,(危険が近づいていること),38.0
47,N1,47,操る,操る,あやつる,"To operate (e.g. A machine), to handle, to manage",,,,,90.0
48,N1,48,危ぶむ,危ぶむ,あやぶむ,"To fear, to doubt",,,,,90.0
49,N1,49,あやふや(な)＊＊,あやふや,あやふや,"uncertain, indefinite",はっきりしない、曖昧は固い表現,あやふやな気持ち、返事,,な気持ち、返事(はっきりしない、曖昧は固い表現),38.0
50,N1,50,過ち,過ち,あやまち,"Fault, error, indiscretion",,,,,94.0
51,N1,51,誤り,誤り,あやまり,"Error, mistake, slip",,,,,94.0
52,N1,52,歩み,歩み,あゆみ,A walk or progress,,人生の歩みは誰にも予測できません。,人生の,は誰にも予測できません。,20.0
53,N1,53,歩む,歩む,あゆむ,To walk (with efforts) (Dictionary form),①人生を送る ②???,①人生の道を共に ②②優勝を目指して歩む ①ことができて幸せです。②〜おう。,①人生の道を共に ②②優勝を目指して, ①ことができて幸せです。②〜おう。(①人生を送る ②???),20.0
54,N1,54,予め,予め,あらかじめ,"beforehand, in advance",,予めご連絡ください。,,ご連絡ください。,54.0
55,N1,55,荒らす,荒らす,あらす,"To lay waste, to damage",,公園でゴミを捨てるのは環境を荒らす行為です。,公園でゴミを捨てるのは環境を,行為です。,90.0
56,N1,56,改まる,改まる,あらたまる,"To be renewed, to change",,,,,90.0
57,N1,57,荒っぽい,荒っぽい,あらっぽい,"Wild, violent, rough-mannered, rude",人、海,①子供たちは②彼は荒っぽい①遊びが好きです。②～く見えますが、実は優しい性格の人なんです。,①子供たちは②彼は,①遊びが好きです。②～く見えますが、実は優しい性格の人なんです。(人、海),13.0
58,N1,58,凡ゆる,凡ゆる,あらゆる,"all, every",考えられる、全て,凡ゆる機会,,機会(考えられる、全て),41.0
59,N1,59,あり触れる,あり触れる,ありふれる,"Common, ordinary",平凡な話,,,(平凡な話),34.0
60,N1,60,アルコール,アルコール,あるこーる,Alcohol,,,,,122.0
61,N1,61,アルツハイマー,アルツハイマー,アルツハイマー,Alzheimer's,"病, disease",アルツハイマーは高齢者に多く見られる認知症です。,,"は高齢者に多く見られる認知症です。(病, disease)",23.0
62,N1,62,合わす,合わす,あわす,To match or fit,声、力を,この服はきれいに合わす～せていますね。,この服はきれいに,～せていますね。(声、力を),21.0
63,N1,63,合わせる顔がない＊,合わせる顔がない,あわせるかおがない,"To be too embarrassed, ashamed to face someone",,,,,142.0
64,N1,64,アンケート,アンケート,あんけーと,"Survey, questionnaire",From French “enquête”,,,(From French “enquête”),133.0
65,N1,65,案じる,案じる,あんじる,"To be concerned, worried",,,,,93.0
66,N1,66,安静,安静,あんせい,"Rest, quiet, repose",,医者の指示に従って安静にしてください。,医者の指示に従って,にしてください。,22.0
67,N1,67,案の定＊,案の定,あんのじょう,"Just as one thought, as usual, sure enough",,,,,58.0
68,N1,68,言い付ける＊,言い付ける,いいつける,To order or command,①命令する ②相手に知られるように、こっそり知らせる=告げ口する,①部長に仕事を ②ドアを壊したのは田中さんだと先生に言い付ける①～られた。②～た。,①部長に仕事を ②ドアを壊したのは田中さんだと先生に,①～られた。②～た。(①命令する ②相手に知られるように、こっそり知らせる=告げ口する),18.0
69,N1,69,言い張る＊,言い張る,いいはる,"To insist, assert",,,,,131.0
70,N1,70,言い訳＊,言い訳,いいわけ,excuse,,言い訳などしないで、兎に角勉強しなさい。,,などしないで、兎に角勉強しなさい。,89.0
71,N1,71,家出,家出,いえで,Running away from home,,,,,69.0
72,N1,72,生かす,生かす,いかす,"To make the most of, utilize",,,,,75.0
73,N1,73,如何なる,如何なる,いかなる,"any kind of, every, whatsoever",どんな、どのような,如何なる時,,時(どんな、どのような),41.0
74,N1,74,如何に,如何に,いかに,How to do it,,,,,139.0
75,N1,75,如何にも,如何にも,いかにも,"indeed, really, truly",,,,,
76,N1,76,イカれる＊＊,イカれる,いかれる,"to become broken, to break down",①ダメになる、壊れる②考え方が変、可笑しい。,①エンジンが②あいつの頭、イカれる①。②～ている！,①エンジンが②あいつの頭、,①。②～ている！(①ダメになる、壊れる②考え方が変、可笑しい。),33.0
77,N1,77,息が切れる＊,息が切れる,いきがきれる,To be out of breath,,,,,144.0
78,N1,78,息が詰まる＊,息が詰まる,いきがつまる,To have one's breath taken away,,,,,144.0
79,N1,79,息が長い＊,息が長い,いきがながい,"To have a long life, patience",,,,,144.0
80,N1,80,息苦しい＊,息苦しい,いきぐるしい,"Suffocating, hard to breathe",息が切れる,息苦しい雰囲気,,雰囲気(息が切れる),36.0
81,N1,81,意気込む＊,意気込む,いきごむ,"To be enthusiastic, motivated",ある事を実現しようと強い気持ちを持つ,『合格するぞ！』、『彼女できるぞ！』と意気込む。,『合格するぞ！』、『彼女できるぞ！』と,。(ある事を実現しようと強い気持ちを持つ),31.0
82,N1,82,行き違い＊,行き違い,いきちがい,"Misunderstanding, miscommunication",,,,,148.0
83,N1,83,息の合う＊,息の合う,いきのあう,To get along well,,,,,144.0
84,N1,84,息もつかずに,息もつかずに,いきもつかずに,Without a moment's rest,,,,,144.0
85,N1,85,息を抜く＊,息を抜く,いきをぬく,"To take a break, rest",,,,,144.0
86,N1,86,息をのむ＊,息をのむ,いきをのむ,To take one's breath away,,,,,144.0
87,N1,87,息を引きとる＊,息を引きとる,いきをひきとる,"To die, pass away",,,,,144.0
88,N1,88,生ける,生ける,いける,To arrange flowers,花瓶に花を差す、形良く,①彼女は庭に美しい花々を ②花器に花を生ける①のが得意です。②。,①彼女は庭に美しい花々を ②花器に花を,①のが得意です。②。(花瓶に花を差す、形良く),20.0
89,N1,89,意向,意向,いこう,"Intention, purpose",,,,,72.0
90,N1,90,いざという時＊,いざという時,いざというとき,"at the critical moment, when the time comes",,,,,54.0
91,N1,91,潔い,潔い,いさぎよい,"Honest, pure, virtuous",汚れがなく、立派である,潔い～く迷うこと近く決心する,,～く迷うこと近く決心する(汚れがなく、立派である),12.0
92,N1,92,いざ知らず,いざ知らず,いざしらず,"Who knows, it's hard to say",,,,,146.0
93,N1,93,いざという時＊,いざという時,いざというとき,"at the critical moment, when the time comes, when it's most important",,,,,146.0
94,N1,94,勇ましい,勇ましい,いさましい,"Brave, valiant, courageous",,彼は困難な状況にも勇ましい顔をして立ち向かいます。,彼は困難な状況にも,顔をして立ち向かいます。,12.0
95,N1,95,意志,意志,いし,"Will, determination",〜しようと思う気持ち、意志薄弱,,,(〜しようと思う気持ち、意志薄弱),72.0
96,N1,96,意思,意思,いし,"Thoughts,wish, purpose",,日本に留学する意思が固い。,日本に留学する,が固い。,72.0
97,N1,97,意地,意地,いじ,"Willpower, determination, stubbornness",,,,,72.0
98,N1,98,意識,意識,いしき,"Consciousness, becoming aware (of)",頭で考えること,意識を失った男性を助けました。,,を失った男性を助けました。(頭で考えること),22.0
99,N1,99,意識不明,意識不明,いしきふめい,Unconsciousness,"unresponsive or unaware of their surroundings due to various reasons such as injury, illness, or anesthesia",事故の後、彼は意識不明の状態で病院に運ばれました。,事故の後、彼は,"の状態で病院に運ばれました。(unresponsive or unaware of their surroundings due to various reasons such as injury, illness, or anesthesia)",22.0
100,N1,100,意地っ張り＊,意地っ張り,いじっぱり,Stubborn,,,,,72.0
101,N1,101,弄る,弄る,いじる,"To tinker with, to tamper with, to play with",①手で触る。②趣味としてAをする,①髪の毛を ②パソコンを ③庭を ④スマホを弄る。,①髪の毛を ②パソコンを ③庭を ④スマホを,。(①手で触る。②趣味としてAをする),16.0
102,N1,102,何ずれにしても＊,何ずれにしても,いずれにしても,"anyhow, at all events, in any case",,,,,59.0
103,N1,103,何ずれにせよ＊,何ずれにせよ,いずれにせよ,"at any rate, in any event, either way",,,,,59.0
104,N1,104,何ずれも＊,何ずれも,いずれも,"any, all, every, both",,,,,59.0
105,N1,105,至って,至って,いたって,"Extremely, exceedingly",,,,,56.0
106,N1,106,痛ましい,痛ましい,いたましい,"Pitiful, heart-breaking, touching",見て痛みを感じる,災害の被害を見ると、痛ましい気持ちになります。,災害の被害を見ると、,気持ちになります。(見て痛みを感じる),14.0
107,N1,107,痛み,痛み,いたみ,"Pain, damage, injury",,けがをした後、痛みを感じることがよくあります。,けがをした後、,を感じることがよくあります。,22.0
108,N1,108,至る所＊,至る所,いたるところ,"everywhere, all over, throughout​",行く先どこでも,,,(行く先どこでも),41.0
109,N1,109,労る,労る,いたわる,To show sympathy or care,年上を優しくする、体を大事にする、慰める=悲しい時,彼は友達が悲しいときにいつも労る～てあげます。,彼は友達が悲しいときにいつも,～てあげます。(年上を優しくする、体を大事にする、慰める=悲しい時),18.0
110,N1,110,一から十まで＊,一から十まで,いちからじゅうまで,"From beginning to end, thoroughly",,,,,146.0
111,N1,111,一字違い,一字違い,いちじちがい,One-character difference,,,,,148.0
112,N1,112,一同,一同,いちどう,"All together, everyone",,,,,140.0
113,N1,113,市場②,市場,いちば,"Market, bazaar (outdoor sale)",,,,,74.0
114,N1,114,一面,一面,いちめん,"One side, all over",,一晩中、雪が降り続き、辺り一面が真っ白になった。,一晩中、雪が降り続き、辺り,が真っ白になった。,140.0
115,N1,115,一目,一目,ひとめ,At a glance or first glance,惚れ(好きになる),彼女と出会って、一目で惚れました。 ,彼女と出会って、,で惚れました。 (惚れ(好きになる)),140.0
116,N1,116,一樣,一樣,いちよう,"The same, identical",,,,,140.0
117,N1,117,一律(な),一律,いちりつ,"uniform, even, across-the-board, equal",,この規則は一律に適用されます。,この規則は,に適用されます。,140.0
118,N1,118,一連,一連,いちれん,"In a row, in a series",,,,,140.0
119,N1,119,一挙,一挙,いっきょ,"All at once, in one go",,,,,140.0
120,N1,120,一見,一見,いっけん,"At first sight, initially",,,,,140.0
121,N1,121,一向に〜ない＊,一向に〜ない,いっこうに〜ない,"Not at all, never",一向にに平気だ。①少しも、全く変化しない ②全く問題が無い,①病気が②日本語が一向に〜ない①に回復しない。②上達しない。③暖かくならない。,①病気が②日本語が,①に回復しない。②上達しない。③暖かくならない。(一向にに平気だ。①少しも、全く変化しない ②全く問題が無い),55.0
122,N1,122,一切〜ない＊,一切〜ない,いっさい〜ない,"Not at all, nothing at all",少しも、全く,私は日本に来てから一切〜ない国のインド料理を食べていない。,私は日本に来てから,国のインド料理を食べていない。(少しも、全く),55.0
123,N1,123,一瞬,一瞬,いっしゅん,"A moment, an instant",,,,,140.0
124,N1,124,一心,一心,いっしん,"Wholeheartedly, with one's whole heart",,,,,140.0
125,N1,125,一新,一新,いっしん,"Complete renewal, overhaul",,,,,140.0
126,N1,126,一斉,一斉,いっせい,"Simultaneous, all at once",,,,,140.0
127,N1,127,一掃,一掃,いっそう,"Complete elimination, sweep",,,,,140.0
128,N1,128,一帯,一帯,いったい,"Whole area, region",,,,,140.0
129,N1,129,一変,一変,いっへん,"Complete change, transformation",,,,,140.0
130,N1,130,意図,意図,いと,"Intention, purpose",,,,,72.0
131,N1,131,愛しい,愛しい,いとしい,"Lovely, dear, beloved",人,家族とのひとときはいつも愛しい瞬間です。,家族とのひとときはいつも,瞬間です。(人),12.0
132,N1,132,意的,意的,いてき,Intentional,,,,,97.0
133,N1,133,営む,営む,いとなむ,"To run (a business), to operate, to conduct",経営する,①会社を ②彼はレストランを営む②～でいます。,①会社を ②彼はレストランを,②～でいます。(経営する),90.0
134,N1,134,今更,今更,いまさら,now (when it is already much too late),①今のなっては、今からではもう遅い ②今、初めて ③ここで,今更、①勉強しても、もう無理だよ。②言うまでもないが、③必要はないが、,,、①勉強しても、もう無理だよ。②言うまでもないが、③必要はないが、(①今のなっては、今からではもう遅い ②今、初めて ③ここで),54.0
135,N1,135,未だに〜ない＊,未だに〜ない,いまだに,"still, even now, to this day",今でもまだ,別れて４年経つが、未だに〜ない元彼女が忘れられない。,別れて４年経つが、,元彼女が忘れられない。(今でもまだ),54.0
136,N1,136,今に,今に,いまに,"before long, even now",近い将来、いつか,今に困るよ。,,困るよ。(近い将来、いつか),54.0
137,N1,137,今にも,今にも,いまにも,"at any moment (now), at any minute",,,,,54.0
138,N1,138,嫌々,嫌々,いやいや,unwillingly,渋々、嫌だと思いながら、仕方がなく,,,(渋々、嫌だと思いながら、仕方がなく),50.0
139,N1,139,嫌がらせ,嫌がらせ,いやがらせ,Harassment or bullying,相手が嫌だと思うことを言ったり、やったりする,彼女は同僚からの嫌がらせに苦しんでいます。,彼女は同僚からの,に苦しんでいます。(相手が嫌だと思うことを言ったり、やったりする),18.0
140,N1,140,卑しい,卑しい,いやしい,"Mean, lowly, base, despicable",お金、食べ物,卑しい行為は他人を傷つけます。,,行為は他人を傷つけます。(お金、食べ物),13.0
141,N1,141,嫌に,嫌に,いやに,"awfully, terribly​",,,,,56.0
142,N1,142,嫌らしい,嫌らしい,いやらしい,"Disgusting, obscene, unpleasant",ソフさん,彼の嫌らしい冗談は誰も笑いませんでした。,彼の,冗談は誰も笑いませんでした。(ソフさん),13.0
143,N1,143,意欲,意欲,いよく,"A will, motivation, ambition, urge (e.g. Creative urge)",,,,,94.0
144,N1,144,色気がある＊,色気がある,いろけがある,"Seductive, sexy, having sex appeal",,彼女はそのドレスで本当に色気がある～ます。,彼女はそのドレスで本当に,～ます。,12.0
145,N1,145,インテリ,インテリ,いんてり,"Intellectual, intelligentsia",,,,,120.0
146,N1,146,受け入れる＊,受け入れる,うけいれる,"To accept, to receive, to agree",,,,,126.0
147,N1,147,受け継ぐ＊,受け継ぐ,うけつぐ,"To inherit, succeed",,,,,126.0
148,N1,148,受け止める＊,受け止める,うけとめる,"To accept, receive",,,,,126.0
149,N1,149,受ける,受ける,うける,"To receive, to catch (e.g. A ball), to be struck by (wind, waves, sunlight, etc.)",,年に一度、健康診断を受けるべきです,年に一度、健康診断を,べきです,
150,N1,150,うざい＊＊,うざい,うざい,"annoying, noisy​",サスケ to 桜、俗語,彼の行動は本当にうざいです。,彼の行動は本当に,です。(サスケ to 桜、俗語),14.0
151,N1,151,打ち上げ＊,打ち上げ,うちあげ,"Launch, liftoff",,,,,127.0
152,N1,152,打ち明ける＊,打ち明ける,うちあける,"To confide, open up",,,,,127.0
153,N1,153,打ち上げる＊,打ち上げる,うちあげる,"To launch, send up",,,,,127.0
154,N1,154,打ち切る＊,打ち切る,うちきる,"To stop, to abort, to discontinue",,,,,127.0
155,N1,155,打ち込む＊,打ち込む,うちこむ,"To devote oneself, plunge into",,,,,128.0
156,N1,156,内訳,内訳,うちわけ,"Detailed breakdown, itemization",,,,,89.0
157,N1,157,鬱陶しい,鬱陶しい,うっとおしい,"Annoying, irritating, bothersome",邪魔だ、気持ちが晴れない,彼のしつこい質問はとても鬱陶しい。,彼のしつこい質問はとても,。(邪魔だ、気持ちが晴れない),14.0
158,N1,158,鬱病,鬱病,うつびょう,Depression,ストレスが溜まると,彼は鬱病の症状に悩んでおり、医師の治療を受けています。,彼は,の症状に悩んでおり、医師の治療を受けています。(ストレスが溜まると),23.0
159,N1,159,うつ伏せ,うつ伏せ,うつぶせ,"Face down, lying on one's stomach",息ができないような,彼はうつ伏せに寝て深い眠りにつきました。,彼は,に寝て深い眠りにつきました。(息ができないような),17.0
160,N1,160,俯く,俯く,うつむく,"To bow one's head, to look down, to hang one's head",下に見て進む、恥、眠い,恥ずかしさで彼女は顔を俯く～せました。,恥ずかしさで彼女は顔を,～せました。(下に見て進む、恥、眠い),16.0
161,N1,161,虚ろ(な),虚ろ,うつろ,"hollow (voice, smile, etc.), blank (eyes, look, etc.)",ぼんやりした様子、生気がない,虚ろな目、表現,,な目、表現(ぼんやりした様子、生気がない),38.0
162,N1,162,うとうと＊＊,うとうと,うとうと,"falling into a doze, dozing off",,,,,50.0
163,N1,163,促す,促す,うながす,To urge or prompt,髪の毛が促進剤、進めること、早くするように,①進行を②先生は生徒たちを勉強するように促す②～ました。,①進行を②先生は生徒たちを勉強するように,②～ました。(髪の毛が促進剤、進めること、早くするように),21.0
164,N1,164,頷く,頷く,うなずく,"To nod one's head, to agree by nodding",賛成です、はい,彼女は同意を示すために頷く～ました。,彼女は同意を示すために,～ました。(賛成です、はい),16.0
165,N1,165,自惚れる＊,自惚れる,うぬぼれる,"To be conceited, arrogant",マウさん、自分が凄いと思っている,自分が一番頭がいいと自惚れる。,自分が一番頭がいいと,。(マウさん、自分が凄いと思っている),30.0
166,N1,166,埋め立てる＊,埋め立てる,うめたてる,"To reclaim, to fill up",(→胸をえぐられるよう),,,((→胸をえぐられるよう)),129.0
167,N1,167,裏返し＊,裏返し,うらがえし,"Flip over, inside out, upside down",,,,,148.0
168,N1,168,潤う,潤う,うるおう,"To be moistened, enriched",ちょうど良い頃水が取る、賑やかになる,喉が潤う。,喉が,。(ちょうど良い頃水が取る、賑やかになる),32.0
169,N1,169,上書き＊,上書き,うわがき,"superscription (on a letter, parcel, etc.), address",,夏/冬は ビールの上書き,夏/冬は ビールの,,68.0
170,N1,170,浮気(な),浮気,うわき,"extramarital sex, affair",,,,,148.0
171,N1,171,上の空(な)＊,上の空,うわのそら,"inattention, absent-mindedness",,,,,68.0
172,N1,172,上回る＊,上回る,うわまわる,"To exceed, surpass",,,,,68.0
173,N1,173,上向く＊,上向く,うわむく,"To face upward, improve",,,,,68.0
174,N1,174,うんざり＊＊,うんざり,うんざり,"boring, being fed up with​",,,,,53.0
175,N1,175,描く,描く,えがく,"to depict, to describe​",,この絵を描くのに３日間費やした。,この絵を,のに３日間費やした。,92.0
176,N1,176,抉る,抉る,えぐる,"to hollow out, to bore, to excavate",,胸を抉る～られるような思いをした。,胸を,～られるような思いをした。,147.0
177,N1,177,エコ(な),エコ,エコ,"ecological, eco-​",,,,,120.0
178,N1,178,エスカレーター,エスカレーター,エスカレーター,escalator,,,,,122.0
179,N1,179,エリート,エリート,エリート,elite,From French “élite”,,,(From French “élite”),123.0
180,N1,180,演じる,演じる,えんじる,"To act (a part), to play (a role)",,,,,93.0
181,N1,181,塩分,塩分,えんぶん,Salt content,,,,,67.0
182,N1,182,円満,円満,えんまん,"Harmony, peace",平和的、穏やかな様子,円満に解決する。,,に解決する。(平和的、穏やかな様子),37.0
183,N1,183,お相子,お相子,おあいこ,"draw, tie​",,,,,148.0
184,N1,184,追い込む＊,追い込む,おいこむ,"To corner, push into a tight spot",,,,,126.0
185,N1,185,老いる,老いる,おいる,"To age, to grow old",年を取る,,,(年を取る),126.0
186,N1,186,追い出す＊,追い出す,おいだす,"to expel, to drive out",,彼は悪い生徒を学校から追い出す～ました。,彼は悪い生徒を学校から,～ました。,31.0
187,N1,187,オイルショック,オイルショック,オイルショック,"oil crisis (esp. 1973 OPEC oil crisis), oil shock",,,,,124.0
188,N1,188,負う,負う,おう,"To bear, carry (responsibility, burden)",,,,,91.0
189,N1,189,応急,応急,おうきゅう,"Emergency, first-aid",,,,,94.0
190,N1,190,大方,大方,おおかた,"large part, greater part",だいたい 80%〜90%、大部分、凡そ,,,(だいたい 80%〜90%、大部分、凡そ),41.0
191,N1,191,大柄,大柄,おおがら,"Large in stature, big-bodied",相撲,彼はバスケットボールの選手として大柄です。,彼はバスケットボールの選手として,です。(相撲),12.0
192,N1,192,大げさ,大げさ,おおげさ,"Exaggeration, exaggerating",オバー,彼の話は大げさ,彼の話は,(オバー),41.0
193,N1,193,オーダーメイド,オーダーメイド,オーダーメイド,"made-to-order (esp. clothing), custom-made",,,,,124.0
194,N1,194,大手,大手,おおて,"Major, leading company",,,,,79.0
195,N1,195,オードブル,オードブル,オードブル,"Hors d'oeuvre, the first course",From French “hors-d'œuvre”,,,(From French “hors-d'œuvre”),133.0
196,N1,196,大幅(な),大幅,おおはば,"Big, large, drastic, full-width cloth",変化が大きい,体重が大幅に変わる。,体重が,に変わる。(変化が大きい),40.0
197,N1,197,大まか,大まか,おおまか,"Rough, approximate",細かいことは気にしないで大事な部分だけ簡単に,大まかに話す。,,に話す。(細かいことは気にしないで大事な部分だけ簡単に),41.0
198,N1,198,概ね,概ね,おおむね,"in general, generally, mostly",100%では無いけど90%、ほとんど,,,(100%では無いけど90%、ほとんど),41.0
199,N1,199,大目,大目,おおめ,"Generous, lenient",,,,,70.0
200,N1,200,大家①,大家,おおや,"landlord, landlady",,,,,70.0
201,N1,201,公(な),公,おおやけ,"official, governmental, public (use, matter, forum, etc.)",,,,,86.0
202,N1,202,大凡,大凡,おおよそ,"about, roughly, approximately",見当をつける、予想する,,,(見当をつける、予想する),41.0
203,N1,203,大らか(な),大らか,おおらか,"Broad-minded, tolerant, easygoing",心が広い、細かいことを気にしない,彼は大らかな心を持っていて、人々に優しく接します。,彼は,な心を持っていて、人々に優しく接します。(心が広い、細かいことを気にしない),12.0
204,N1,204,犯す,犯す,おかす,"To commit (e.g. Crime), to make (e.g. Mistake), to break (e.g. Rule), to violate",,,,,90.0
205,N1,205,奢る,奢る,おごる,To treat or indulge,食事とかのお金を払って貰う,彼は友達に美味しい夕食を奢る～てあげました。,彼は友達に美味しい夕食を,～てあげました。(食事とかのお金を払って貰う),18.0
206,N1,206,お産,お産,おさん,Childbirth,,お産は女性の生活で特別な瞬間の一つです。,,は女性の生活で特別な瞬間の一つです。,22.0
207,N1,207,押し切る＊,押し切る,おしきる,"To push through, overcome",,,,,130.0
208,N1,208,押し込む＊,押し込む,おしこむ,"To push, shove in",,,,,130.0
209,N1,209,お仕舞い＊,お仕舞い,おしまい,"the end, closing, being done for​",,,,,148.0
210,N1,210,押し寄せる＊,押し寄せる,おしよせる,"To swarm, rush in",,,,,130.0
